"Date","Price","Open","High","Low","Vol.","Change %"
"06-08-2014","201.55","202.81","203.93","200.89","3.38M","-1.24%"
"07-08-2014","201.92","202.27","203.66","201.55","3.93M","0.19%"
"08-08-2014","198.10","200.30","201.00","197.82","7.45M","-1.89%"
"11-08-2014","197.31","199.31","199.77","196.92","5.63M","-0.40%"
"12-08-2014","200.85","199.31","201.18","197.07","6.60M","1.80%"
"13-08-2014","202.15","201.55","202.98","199.72","7.84M","0.64%"
"14-08-2014","205.70","202.57","206.94","202.37","11.87M","1.76%"
"18-08-2014","207.11","206.53","207.64","204.93","6.70M","0.68%"
"19-08-2014","204.99","207.27","208.39","204.60","7.89M","-1.02%"
"20-08-2014","204.17","206.28","207.67","203.79","9.43M","-0.40%"
"21-08-2014","207.15","204.53","207.82","204.29","6.39M","1.46%"
"22-08-2014","210.69","207.61","211.19","206.04","10.02M","1.71%"
"25-08-2014","209.87","209.76","212.20","208.32","6.66M","-0.39%"
"26-08-2014","209.64","210.13","211.13","208.54","4.17M","-0.11%"
"27-08-2014","208.17","210.51","210.51","207.52","4.85M","-0.70%"
"28-08-2014","209.90","208.39","210.38","207.52","7.99M","0.83%"
"01-09-2014","209.31","210.48","211.25","208.67","4.15M","-0.28%"
"02-09-2014","213.79","209.78","214.26","208.68","11.44M","2.14%"
"03-09-2014","213.16","215.23","215.23","211.90","9.23M","-0.30%"
"04-09-2014","211.96","213.50","213.74","211.13","6.41M","-0.56%"
"05-09-2014","211.12","212.00","212.88","210.03","3.84M","-0.40%"
"08-09-2014","215.17","211.75","215.93","211.36","9.79M","1.92%"
"09-09-2014","215.38","214.01","216.45","213.44","7.66M","0.10%"
"10-09-2014","213.32","215.23","215.23","212.52","4.31M","-0.96%"
"11-09-2014","212.58","213.34","214.76","212.25","6.53M","-0.34%"
"12-09-2014","212.92","211.53","213.49","211.24","6.09M","0.16%"
"15-09-2014","214.08","211.50","215.23","211.50","5.81M","0.54%"
"16-09-2014","211.75","214.24","214.50","211.00","5.08M","-1.09%"
"17-09-2014","210.61","212.75","212.97","209.54","7.91M","-0.54%"
"18-09-2014","213.53","210.20","214.24","209.57","6.65M","1.39%"
"19-09-2014","214.05","213.99","215.23","211.85","6.54M","0.24%"
"22-09-2014","213.21","213.23","213.62","211.75","6.53M","-0.40%"
"23-09-2014","211.22","213.01","213.46","210.41","4.72M","-0.93%"
"24-09-2014","212.86","210.78","213.32","210.27","6.67M","0.78%"
"25-09-2014","211.49","212.25","215.38","209.54","16.60M","-0.64%"
"26-09-2014","216.89","211.49","218.72","210.26","9.88M","2.55%"
"29-09-2014","215.26","217.22","218.31","214.29","8.68M","-0.75%"
"30-09-2014","217.14","215.04","218.92","214.28","12.04M","0.87%"
"01-10-2014","215.98","215.48","216.76","214.11","5.87M","-0.53%"
"07-10-2014","214.60","215.23","215.73","212.52","5.03M","-0.64%"
"08-10-2014","215.88","214.13","216.48","213.57","3.14M","0.60%"
"09-10-2014","220.86","217.47","222.19","216.04","7.65M","2.31%"
"10-10-2014","215.81","219.73","220.25","215.21","4.27M","-2.29%"
"13-10-2014","218.17","214.99","218.47","212.91","5.38M","1.10%"
"14-10-2014","216.07","220.21","220.45","215.27","7.27M","-0.96%"
"16-10-2014","213.70","216.08","217.47","212.76","5.53M","-1.09%"
"17-10-2014","220.27","214.05","220.98","213.27","9.98M","3.07%"
"20-10-2014","222.40","222.45","226.33","221.49","9.53M","0.97%"
"21-10-2014","222.84","223.94","225.37","220.87","16.04M","0.20%"
"22-10-2014","222.36","225.20","225.52","221.77","4.57M","-0.21%"
"23-10-2014","223.06","222.20","223.41","221.95","898.89K","0.31%"
"27-10-2014","223.26","223.71","225.76","222.49","6.72M","0.09%"
"28-10-2014","222.77","223.69","223.99","222.45","5.80M","-0.22%"
"29-10-2014","221.84","223.99","224.57","221.45","7.90M","-0.42%"
"30-10-2014","223.11","221.43","223.93","220.73","10.74M","0.57%"
"31-10-2014","226.89","223.97","227.58","223.28","10.11M","1.70%"
"03-11-2014","226.61","227.73","228.75","225.29","7.24M","-0.13%"
"05-11-2014","227.13","227.69","228.99","226.49","7.52M","0.23%"
"07-11-2014","223.81","225.19","225.59","222.36","9.03M","-1.46%"
"10-11-2014","225.10","223.82","226.02","222.20","6.39M","0.58%"
"11-11-2014","225.91","225.41","228.25","224.54","5.91M","0.36%"
"12-11-2014","226.87","226.68","228.89","224.98","9.06M","0.42%"
"13-11-2014","227.91","227.80","228.92","224.91","7.39M","0.46%"
"14-11-2014","231.43","228.47","232.15","226.87","8.44M","1.54%"
"17-11-2014","228.66","231.41","232.40","225.93","13.46M","-1.20%"
"18-11-2014","231.96","229.17","232.65","226.93","9.19M","1.44%"
"19-11-2014","230.55","232.66","233.32","229.45","3.45M","-0.61%"
"20-11-2014","228.47","230.90","230.90","226.95","4.77M","-0.90%"
"21-11-2014","232.12","229.22","232.65","227.44","8.82M","1.60%"
"24-11-2014","235.19","231.99","236.38","230.94","7.32M","1.32%"
"25-11-2014","237.27","234.64","238.57","233.65","12.16M","0.88%"
"26-11-2014","236.71","233.85","238.85","232.23","8.98M","-0.24%"
"27-11-2014","235.92","236.53","237.33","234.64","13.21M","-0.33%"
"28-11-2014","238.16","235.89","240.34","235.64","9.25M","0.95%"
"01-12-2014","236.38","238.45","239.48","235.94","7.39M","-0.75%"
"02-12-2014","234.72","234.33","236.28","233.70","4.52M","-0.71%"
"03-12-2014","232.18","234.39","234.90","231.91","6.66M","-1.08%"
"04-12-2014","234.24","233.90","234.95","231.91","6.84M","0.89%"
"05-12-2014","234.58","234.14","234.99","232.83","4.07M","0.14%"
"08-12-2014","230.70","235.14","235.14","230.16","4.06M","-1.65%"
"09-12-2014","230.60","230.18","232.65","230.18","4.87M","-0.04%"
"10-12-2014","231.76","230.44","232.65","230.24","5.57M","0.50%"
"11-12-2014","232.30","231.38","232.84","230.16","4.82M","0.24%"
"12-12-2014","231.78","232.15","232.95","231.16","4.62M","-0.22%"
"15-12-2014","234.27","231.41","234.97","230.91","6.64M","1.07%"
"16-12-2014","230.35","233.29","234.39","228.17","4.99M","-1.67%"
"17-12-2014","229.38","230.41","232.03","227.92","7.06M","-0.42%"
"18-12-2014","232.42","232.05","233.03","229.43","6.49M","1.32%"
"19-12-2014","234.26","235.15","236.14","232.03","6.11M","0.79%"
"22-12-2014","239.79","237.38","240.39","234.52","8.30M","2.36%"
"23-12-2014","238.81","238.80","242.34","237.72","7.54M","-0.41%"
"24-12-2014","235.20","238.35","240.07","234.17","16.66M","-1.51%"
"26-12-2014","236.05","236.48","237.12","234.53","3.37M","0.36%"
"29-12-2014","236.81","236.41","237.88","235.96","3.61M","0.32%"
"30-12-2014","237.99","236.38","238.77","234.58","5.68M","0.50%"
"31-12-2014","236.78","237.88","238.20","236.32","4.99M","-0.51%"
"01-01-2015","236.89","236.63","237.48","235.15","3.54M","0.05%"
"02-01-2015","240.19","236.48","241.19","236.48","5.90M","1.39%"
"05-01-2015","238.16","241.36","241.50","237.65","4.80M","-0.84%"
"06-01-2015","234.46","237.38","238.01","233.29","8.22M","-1.56%"
"07-01-2015","235.14","233.82","236.72","232.96","5.75M","0.29%"
"08-01-2015","240.08","237.44","241.10","235.94","9.53M","2.10%"
"09-01-2015","242.77","242.08","243.85","240.51","8.99M","1.12%"
"12-01-2015","240.63","241.21","242.46","239.99","4.13M","-0.88%"
"13-01-2015","239.71","241.10","241.85","237.80","5.83M","-0.38%"
"14-01-2015","239.84","238.89","242.52","238.80","3.69M","0.06%"
"15-01-2015","247.12","246.34","248.38","241.55","11.40M","3.03%"
"16-01-2015","249.16","249.37","252.53","248.46","7.82M","0.83%"
"19-01-2015","249.96","252.12","253.80","249.56","4.24M","0.32%"
"20-01-2015","254.04","251.31","255.54","249.32","8.51M","1.63%"
"21-01-2015","253.79","255.64","257.02","253.39","6.74M","-0.10%"
"22-01-2015","254.11","255.05","256.91","253.44","6.47M","0.13%"
"23-01-2015","259.48","256.29","260.77","254.90","9.99M","2.11%"
"27-01-2015","267.25","259.53","268.17","259.00","9.96M","3.00%"
"28-01-2015","263.34","266.24","272.02","262.51","11.36M","-1.46%"
"29-01-2015","272.46","267.49","273.86","264.00","20.57M","3.46%"
"30-01-2015","268.07","272.35","272.35","264.81","10.57M","-1.61%"
"02-02-2015","269.13","265.87","271.97","261.85","5.71M","0.39%"
"03-02-2015","264.78","268.36","269.28","262.59","10.20M","-1.62%"
"04-02-2015","265.67","264.50","268.93","263.07","6.20M","0.34%"
"05-02-2015","267.86","267.49","271.92","266.33","8.06M","0.82%"
"06-02-2015","262.14","267.99","268.47","261.28","6.90M","-2.14%"
"09-02-2015","258.80","260.52","261.70","257.41","5.23M","-1.27%"
"10-02-2015","262.37","256.29","264.33","256.29","9.28M","1.38%"
"11-02-2015","263.36","263.26","264.95","262.01","4.16M","0.37%"
"12-02-2015","267.74","265.02","269.20","261.94","5.53M","1.66%"
"13-02-2015","265.20","269.03","269.23","264.65","7.71M","-0.95%"
"16-02-2015","265.63","267.69","269.98","264.38","7.39M","0.16%"
"18-02-2015","267.44","265.63","269.47","263.02","5.38M","0.68%"
"19-02-2015","268.68","267.24","269.95","264.70","4.51M","0.47%"
"20-02-2015","267.00","269.48","271.20","265.87","6.21M","-0.63%"
"23-02-2015","265.62","268.01","269.12","264.25","5.58M","-0.52%"
"24-02-2015","265.66","266.32","266.49","263.03","5.85M","0.01%"
"25-02-2015","261.88","266.24","267.44","261.27","4.65M","-1.42%"
"26-02-2015","258.32","262.18","262.76","257.56","12.43M","-1.36%"
"27-02-2015","262.26","260.13","263.39","260.13","10.26M","1.53%"
"28-02-2015","266.54","264.50","267.94","259.81","11.58M","1.63%"
"02-03-2015","269.37","268.82","273.46","265.75","14.39M","1.06%"
"03-03-2015","269.57","270.34","271.72","268.00","6.03M","0.07%"
"04-03-2015","265.07","274.95","276.02","263.76","12.28M","-1.67%"
"05-03-2015","270.00","265.00","271.22","264.38","9.70M","1.86%"
"09-03-2015","263.51","268.00","269.18","262.76","5.76M","-2.41%"
"10-03-2015","261.90","264.25","264.32","260.02","5.13M","-0.61%"
"11-03-2015","262.87","261.49","264.23","261.27","5.47M","0.37%"
"12-03-2015","262.41","263.78","264.73","261.54","7.53M","-0.18%"
"13-03-2015","259.44","263.76","264.75","257.43","5.43M","-1.13%"
"16-03-2015","261.65","260.02","263.23","259.40","5.35M","0.85%"
"17-03-2015","263.27","263.76","265.22","259.49","5.37M","0.62%"
"18-03-2015","264.64","263.79","266.72","262.06","5.15M","0.52%"
"19-03-2015","261.81","266.49","267.19","260.94","5.37M","-1.07%"
"20-03-2015","262.73","261.52","263.63","260.26","6.48M","0.35%"
"23-03-2015","260.71","262.75","263.61","260.27","5.45M","-0.77%"
"24-03-2015","258.27","259.60","263.01","257.65","8.97M","-0.94%"
